,date,demand_mwh
583,2024-08-07,169218
584,2024-08-08,169793
585,2024-08-09,158043
586,2024-08-10,155506
587,2024-08-11,153094
588,2024-08-12,168085
589,2024-08-13,170228
590,2024-08-14,167959
591,2024-08-15,167413
592,2024-08-16,168462
593,2024-08-17,160328
594,2024-08-18,157253
595,2024-08-19,170838
596,2024-08-20,169619
597,2024-08-21,166251
598,2024-08-22,169038
599,2024-08-23,170757
600,2024-08-24,157223
601,2024-08-25,153308
602,2024-08-26,167415
603,2024-08-27,169516
604,2024-08-28,166920
605,2024-08-29,166742
606,2024-08-30,168716
607,2024-08-31,162739
608,2024-09-01,160620
609,2024-09-02,174383
610,2024-09-03,174099
611,2024-09-04,167486
612,2024-09-05,168050
613,2024-09-06,170370
614,2024-09-07,162785
615,2024-09-08,157219
616,2024-09-09,167355
617,2024-09-10,166324
618,2024-09-11,167595
619,2024-09-12,165641
620,2024-09-13,168112
621,2024-09-14,157112
622,2024-09-15,152886
623,2024-09-16,167078
624,2024-09-17,167603
625,2024-09-18,165170
626,2024-09-19,168030
627,2024-09-20,169299
628,2024-09-21,157489
629,2024-09-22,157022
630,2024-09-23,171537
631,2024-09-24,166672
632,2024-09-25,163768
633,2024-09-26,160135
634,2024-09-27,163394
635,2024-09-28,158466
636,2024-09-29,155782
637,2024-09-30,166256
638,2024-10-01,164345
639,2024-10-02,166676
640,2024-10-03,167221
641,2024-10-04,165512
642,2024-10-05,156356
643,2024-10-06,151808
644,2024-10-07,165303
645,2024-10-08,166387
646,2024-10-09,166034
647,2024-10-10,166827
648,2024-10-11,167637
649,2024-10-12,157296
650,2024-10-13,152633
651,2024-10-14,161618
652,2024-10-15,162461
653,2024-10-16,163770
654,2024-10-17,163425
655,2024-10-18,163548
656,2024-10-19,156035
657,2024-10-20,149017
658,2024-10-21,164944
659,2024-10-22,170514
660,2024-10-23,171725
661,2024-10-24,171411
662,2024-10-25,170482
663,2024-10-26,162130
664,2024-10-27,160567
665,2024-10-28,173732
666,2024-10-29,175546
667,2024-10-30,173101
668,2024-10-31,160416
669,2024-11-01,168934
670,2024-11-02,158001
671,2024-11-03,153460
672,2024-11-04,163268
673,2024-11-05,166391
674,2024-11-06,165679
675,2024-11-07,166180
676,2024-11-08,166292
677,2024-11-09,158580
678,2024-11-10,153608
679,2024-11-11,166718
680,2024-11-12,168101
681,2024-11-13,165990
682,2024-11-14,165445
683,2024-11-15,166954
684,2024-11-16,157597
685,2024-11-17,152190
686,2024-11-18,163320
687,2024-11-19,163167
688,2024-11-20,162015
689,2024-11-21,163442
690,2024-11-22,163609
691,2024-11-23,155012
692,2024-11-24,152906
693,2024-11-25,164709
694,2024-11-26,163908
695,2024-11-27,161246
696,2024-11-28,160900
697,2024-11-29,158966
698,2024-11-30,151707
699,2024-12-01,151432
700,2024-12-02,163164
701,2024-12-03,163780
702,2024-12-04,163839
703,2024-12-05,164261
704,2024-12-06,167747
705,2024-12-07,161215
706,2024-12-08,157509
707,2024-12-09,164164
708,2024-12-10,161943
709,2024-12-11,164471
710,2024-12-12,166208
711,2024-12-13,163902
712,2024-12-14,157649
713,2024-12-15,155683
714,2024-12-16,167172
715,2024-12-17,165965
716,2024-12-18,162833
717,2024-12-19,161371
718,2024-12-20,161706
719,2024-12-21,153693
720,2024-12-22,149711
721,2024-12-23,160657
722,2024-12-24,157938
723,2024-12-25,148627
724,2024-12-26,158416
725,2024-12-27,160585
726,2024-12-28,153654
727,2024-12-29,150384
728,2024-12-30,158250
729,2024-12-31,156458
730,2025-01-01,148971
731,2025-01-02,161116
732,2025-01-03,163045
733,2025-01-04,155946
734,2025-01-05,152669
735,2025-01-06,164239
736,2025-01-07,164700
737,2025-01-08,165508
738,2025-01-09,165291
739,2025-01-10,162743
740,2025-01-11,149868
741,2025-01-12,147307
742,2025-01-27,155407
743,2025-01-28,148134
744,2025-01-29,138354
745,2025-01-30,138319
746,2025-01-31,147974
747,2025-02-01,145172
748,2025-02-02,145380
749,2025-02-03,158168
750,2025-02-04,160385
751,2025-02-05,158804
752,2025-02-06,157669
753,2025-02-07,160378
754,2025-02-08,153444
755,2025-02-09,149931
756,2025-02-10,160882
757,2025-02-11,162073
758,2025-02-12,162871
759,2025-02-13,164676
760,2025-02-14,166088
761,2025-02-15,158764
762,2025-02-16,153654
763,2025-02-17,165154
764,2025-02-18,164475
765,2025-02-19,163749
766,2025-02-20,164803
767,2025-02-21,160981
768,2025-02-22,155363
769,2025-02-23,152071
770,2025-02-24,158610
771,2025-02-25,161040
772,2025-02-26,161601
773,2025-02-27,162500
774,2025-02-28,161038
775,2025-03-01,154292
776,2025-03-02,153983
777,2025-03-03,165167
778,2025-03-04,166318
779,2025-03-05,165945
780,2025-03-06,162905
781,2025-03-07,164659
782,2025-03-08,159113
783,2025-03-09,153076
784,2025-03-10,165464
785,2025-03-11,167117
786,2025-03-12,166402
787,2025-03-13,166984
788,2025-03-14,168283
789,2025-03-15,161016
790,2025-03-16,155915
791,2025-03-17,166775
792,2025-03-18,167816
793,2025-03-19,164079
794,2025-03-20,158656
795,2025-03-21,159186
796,2025-03-22,155417
797,2025-03-23,151269
798,2025-03-24,163671
799,2025-03-25,164696
800,2025-03-26,165236
801,2025-03-27,165751
802,2025-03-28,164547
803,2025-03-29,155915
804,2025-03-30,151421
805,2025-03-31,150640
806,2025-04-01,162972
807,2025-04-02,164350
808,2025-04-03,164627
809,2025-04-04,164670
810,2025-04-05,155828
811,2025-04-06,155141
812,2025-04-07,164579
813,2025-04-08,165305
814,2025-04-09,165374
815,2025-04-10,165542
816,2025-04-11,165767
817,2025-04-12,159873
818,2025-04-13,153578
819,2025-04-14,166412
820,2025-04-15,167864
821,2025-04-16,168283
822,2025-04-17,165132
823,2025-04-18,157889
824,2025-04-19,158836
825,2025-04-20,154073
826,2025-04-21,165631
827,2025-04-22,168164
828,2025-04-23,168057
829,2025-04-24,168763
830,2025-04-25,170633
831,2025-04-26,162635
832,2025-04-27,158353
833,2025-04-28,170788
834,2025-04-29,169809
835,2025-04-30,170578
836,2025-05-01,159697
837,2025-05-02,169824
